Unnamed: 0,song,cnt
32,"모든 날, 모든 순간 (Every day, Every Moment)",12
75,사계 (Four Seasons),12
263,Paris In The Rain,12
350,2002,12
289,봄날,12
136,IDOL,12
50,너를 만나,12
149,그때가 좋았어,12
304,주저하는 연인들을 위해,12
7,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),11
153,사랑에 연습이 있었다면 (Prod. 2soo),11
305,노래방에서,10
287,너에게 못했던 내 마지막 말은,10
150,니 소식,10
14,bad guy,10
48,비,9
37,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),9
348,사계 (하루살이),9
274,사랑이 식었다고 말해도 돼,9
178,"Speechless (Full) (From ""Aladdin""/Soundtrack Version)",9
0,술이 문제야,9
68,나의 어깨에 기대어요,8
141,BAND,8
121,안녕,8
97,솔직하게 말해서 나,8
39,옥탑방 (Rooftop),8
91,포장마차,8
81,사월이 지나면 우리 헤어져요 (Beautiful goodbye),8
210,FANCY,8
69,달라달라,8
295,그대라는 시,8
247,Love Shot,8
17,시든 꽃에 물을 주듯,8
298,comethru,8
344,Way Back Home,8
3,소우주 (Mikrokosmos),8
6,Señorita,8
90,넘쳐흘러,7
101,Make It Right,7
243,이별하러 가는 길,7
167,벌써 12시,7
260,"나만, 봄",7
35,Dionysus,7
191,기억해줘요 내 모든 날과 그때를,7
356,헤어져줘서 고마워,7
322,당신과는 천천히,6
337,헤어지자 (Prod. 정키),6
333,사랑이란 멜로는 없어,6
139,Kill This Love,6
301,꿈속에 너 (Feat. 전상근),6
140,Tempo,6
319,가을밤 떠난 너,6
316,180도,6
211,Believer,6
154,Snapping,6
161,다시 만날까 봐,6
163,Feel Special,6
164,이 노래가 클럽에서 나온다면,6
293,"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",6
250,7 rings,6
215,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,6
181,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",6
361,워커홀릭,6
12,조금 취했어 (Prod. 2soo),6
57,Goodbye,6
170,허전해,5
103,Dance The Night Away,5
109,인사,5
116,지나오다,5
134,그건 아마 우리의 잘못은 아닐 거야,5
138,내 생에 아름다운,5
144,별 보러 갈래?,5
146,신청곡 (Feat. SUGA of BTS),5
169,초록빛,5
224,YES or YES,5
197,"인기 (Feat. 송가인, 챈슬러)",5
231,진심이 담긴 노래 (True Song),5
236,불티 (Spark),5
257,"thank u, next",5
13,있어줘요,5
324,벗,5
327,괜찮아도 괜찮아 (That's okay),5
340,새 사랑,5
343,신용재,5
93,Another Day,5
62,너는 어땠을까,5
79,멍청이(twit),5
312,이별행동,4
228,이 번호로 전화해줘,4
227,We don't talk together (Feat. 기리보이) (Prod. SUGA),4
223,돈 Call Me (Prod.BRLLNT),4
218,내 목소리 들리니,4
306,서울 밤 (feat. 빈지노),4
341,영화 속에 나오는 주인공처럼,4
33,시간의 바깥,4
207,Blueming,4
9,I Don't Care,4
132,늦은 밤 너의 집 앞 골목길에서,4
203,띵 (Prod. By 기리보이),4
202,너도 그냥 날 놓아주면 돼,4
219,차가워진 이 바람엔 우리가 써있어 (Bad Love),4
302,아낙네,4
196,AH YEAH (아예),4
188,날라리 (LALALAY),4
187,눈 (Prod. 기리보이),4
330,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)",4
77,열애중,4
1,샤넬 (Feat. 박봄),4
148,술이 달다 (Feat. Crush),4
180,이별주,4
173,ICY,4
38,대충 입고 나와,4
67,밤편지,4
325,우리 어떻게 할까요,4
117,LION,4
160,나빠(NAPPA),4
291,Love poem,4
251,삐삐,4
23,고고베베 (gogobebe),4
95,Done For Me,4
70,MILLIONS,4
283,"A Whole New World (From ""Aladdin""/Soundtrack Version)",4
358,고백,4
254,가라사대,4
102,내 맘을 볼 수 있나요,4
22,뜨거운 여름밤은 가고 남은 건 볼품없지만,4
282,SOLO,4
252,내 안부,4
26,비올레타,4
269,봄 (feat. 산다라박),4
82,HIP,4
273,오늘 밤에,4
88,흔한 이별,4
300,교통정리 (Feat. 헤이즈),4
177,혼자,3
186,여자친구,3
174,가끔 이러다,3
172,SHE'S FINE,3
171,Jamais Vu,3
271,나의 오랜 연인에게,3
166,비가 내리는 날에는,3
40,짐살라빔 (Zimzalabim),3
262,"담아 (Feat. 염따, pH-1) (Prod. BOYCOLD)",3
229,잘 살고 있다,3
256,BIRTHDAY,3
34,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),3
195,우리 왜 헤어져야 해,3
232,METEOR,3
74,하루도 그대를 사랑하지 않은 적이 없었다,3
204,Obsession,3
208,너 없인 안 된다,3
29,unlucky,3
308,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)",3
297,빌었어,3
238,HOME,3
42,"Show Yourself (From ""Frozen 2""/Soundtrack Version)",3
221,그리워하다,3
237,떨어지는 낙엽까지도,3
226,십이월 이십오일의 고백,3
234,가을 타나 봐,3
212,라비앙로즈 (La Vie en Rose),3
182,비워 (Beer) (Prod. Way Ched),3
277,비가 오잖아,3
52,아름답고도 아프구나,3
142,뚜두뚜두 (DDU-DU DDU-DU),3
49,"다시는 사랑하지 않고, 이별에 아파하기 싫어",3
51,미운 날,3
353,그러나,3
112,Square (2017),3
354,Psycho,3
147,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,3
347,"천둥벌거숭이 (Feat. Jvcki Wai, 염따)",3
45,헤어진 우리가 지켜야 할 것들,3
55,그 사람,3
345,누구 없소 (NO ONE) (Feat. B.I of iKON),3
44,비오는 날 뭐해,3
92,UN Village,3
120,음파음파 (Umpah Umpah),3
56,FLASH,3
326,날 보러 와요 (Come See Me),2
110,호불호 (Feat. 기리보이) (Prod. By GRAY),2
127,Trouble,2
111,FAKE LOVE,2
124,Snowman,2
119,"Arabian Nights (2019) (From ""Aladdin""/Soundtrack Version)",2
222,노을,2
303,널 안지 않을 수 있어야지,2
114,"다시 난, 여기",2
5,25,2
296,"GO HIGH (Feat. 우원재, 창모 (CHANGMO), The Quiett) (Prod. CODE KUNST)",2
4,She (Hidden Track No.V 1월 선정곡),2
106,있어줄래,2
241,미안해,2
285,All I Want for Christmas Is You,2
280,Flower,2
24,달,2
281,다섯 번째 계절 (SSFWL),2
270,Black Swan,2
268,여행,2
267,벚꽃 엔딩,2
94,너를 사랑하고 있어,2
96,Make it count,2
245,Don't Know What To Do,2
288,Intro : Persona,2
355,"Prince Ali (From ""Aladdin""/Soundtrack Version)",2
255,호랑이소굴 (Feat. Jvcki Wai),2
83,이 밤,2
249,이별은 늘 그렇게 (Duet. 정은지),2
31,자장가,2
292,DNA,2
213,ROXANNE,2
159,사람,2
60,Mermaid,2
329,그 끝에 그대,2
183,그러니까 (Feat. Colde),2
332,야간비행 (魔女の花),2
46,마음이 말하는 행복 (Happiness) (Feat.이라온),2
36,내게 들려주고 싶은 말 (Dear Me),2
315,Uh-Oh,2
47,BUNGEE (Fall in Love),2
192,U GOT IT,2
193,Loveship,2
194,숨겨진 세상 (Into the Unknown End Credit Version) (겨울왕국2),2
61,너만 너만 너만,2
10,5월의 밤,2
314,아무노래,2
199,Senorita,2
184,헤어질 걸 알아,2
43,오월의 어느 봄날 (Feat. 첸(CHEN)),2
209,안녕하세요,2
157,첫 겨울이니까,2
206,Santa Tell Me,2
328,XX,2
152,Say Goodbye,2
165,열대야 (Fever),2
284,HIT,1
360,크리스마스니까,1
279,Baby You Are,1
278,Go away go away,1
318,Ya Ya Ya,1
2,"파티피플 (Feat. 염따, Uneducated Kid)",1
359,낮 (Day off),1
66,나의 모든 날,1
357,습관 (Bad Habits),1
323,Gravity,1
11,전화를 할까봐,1
286,니가 길게 혼자면 좋겠어,1
321,신촌에 왔어,1
352,하고 싶던 말 (Sorry not sorry),1
320,지킬 (Jekyll),1
310,U GOT IT (X1 Ver.),1
290,이뻐이뻐 (Pretty girl),1
334,행복,1
309,축제,1
307,이 노랜 꽤 오래된 거야 (A song from the past),1
342,Birthday,1
339,정말 헤어지는 거야 (With 죠지),1
64,사랑에 연습이 있었다면 (답가),1
338,알았다면,1
8,만추 (Feat. Crush),1
311,러브 델루나,1
16,마음,1
336,Amanda (Feat. Simon Dominic) (Prod. By UNTITLEDS),1
335,FLOWER SHOWER,1
346,둘만의 세상으로 가,1
317,내가 많이 사랑해요,1
313,내가 날 모르는 것처럼 (Feat. 카더가든),1
18,버릇처럼 셋을 센다,1
349,움직여 (MOVE) (Prod. by ZICO) (X1 Ver.),1
299,"Some Things Never Change (From ""Frozen 2""/Soundtrack Version)",1
19,헤어질 자신 있니 (Narr. SBS 박선영 아나운서),1
20,해야 (Sunrise),1
351,Dream Glow (BTS WORLD OST Part.1),1
294,"FEVER (Feat. 수퍼비, BIBI)",1
65,새벽에,1
21,춤 (Groove),1
331,밤 끝없는 밤,1
15,戀人 (연인),1
86,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),1
276,"덜어 (Feat. Kid Milli, 스윙스) (Prod. BOYCOLD)",1
126,Answer : Love Myself,1
129,시간을 갖자,1
130,나들이 갈까,1
131,%% (응응),1
133,우린 결국 다시 만날 운명이었지 (Destiny),1
80,오랜만이야 (Feat. Zion.T),1
135,누아르 (Noir),1
137,BIRD,1
143,남겨짐에 대해 (Feat. 다운),1
78,My Love,1
145,물 만난 물고기,1
151,헤어지는 중,1
155,Home,1
156,교차로 (Crossroads),1
158,그모습 그대로,1
162,Nerdy Love (Feat. 백예린),1
41,310,1
168,너의 하루는 좀 어때,1
128,뭐해 (What are you up to),1
125,Seattle Alone,1
59,내 생애 가장 행복한 시간 Part.2 (Feat. 양다일),1
123,"시작됐나, 봄",1
89,움직여 (MOVE) (Prod. by ZICO),1
85,시간이 들겠지 (Feat. Colde),1
84,시작,1
98,Taste,1
99,내 마음의 사진,1
100,어떤 날엔,1
54,조금 더 외로워지겠지,1
104,FREEDOM,1
105,스며들기 좋은 오늘,1
107,I'm Fine,1
108,BET BET,1
113,ON,1
115,사랑의 말 (Love words),1
58,사랑해서 그래,1
118,마음을 드려요,1
53,사이렌 (Siren),1
122,Universe (별의 언어),1
76,첫눈에,1
175,We all lie,1
275,방에 모기가 있어 (Do You Think Of Me?),1
235,잘 지내고 있는지 궁금해,1
239,Popo (How deep is our love?),1
240,달라진 니 마음,1
242,괜찮아요,1
244,을 (Feat. BIG Naughty (서동현)),1
246,운명이 내게 말해요,1
28,우리 그만하자,1
248,아주 NICE,1
27,일산으로,1
253,온도 (Feat. 수란),1
258,"그대의 밤, 나의 아침",1
259,중2병,1
261,나비효과 (Butterfly Effect),1
25,먹구름,1
264,Know Me Too Well,1
265,하루에도 열두 번,1
266,안녕이라는 말,1
272,나만 아픈 일,1
71,flex (Prod. By 기리보이),1
233,오늘도 (Day After Day),1
176,Blue,1
72,FIESTA,1
179,그대에게,1
185,웃을 때 제일 예뻐,1
189,바다 (Feat. 기리보이) (Prod. 기리보이),1
190,WINTER FLOWER(雪中梅)(Feat.RM),1
198,Euphoria,1
200,꽃 (Flower),1
201,잊지마요 (Feat. 박지훈),1
205,전하지 못한 진심 (Feat. Steve Aoki),1
63,달려,1
214,봄바람,1
30,"Gloomy Star (Feat. 1ho, Chan)",1
216,고래,1
217,어떤 별보다,1
220,가을 안부,1
87,Painkiller,1
225,IndiGO,1
230,작별 인사,1
73,뱃노래,1
